date,county,state,fips,cases,deaths
05/18/2020,Richmond,New York,36085,13084,797
05/19/2020,New York,New York,36061,24100,2230
05/19/2020,Bronx,New York,36005,44105,3546
05/19/2020,Kings,New York,36047,53534,5142
05/19/2020,Queens,New York,36081,60012,5422
05/19/2020,Richmond,New York,36085,13126,802
05/20/2020,New York,New York,36061,24269,2242
05/20/2020,Bronx,New York,36005,44377,3561
05/20/2020,Kings,New York,36047,53861,5163
05/20/2020,Queens,New York,36081,60262,5448
05/20/2020,Richmond,New York,36085,13183,809
05/21/2020,New York,New York,36061,24415,2248
05/21/2020,Bronx,New York,36005,44570,3573
05/21/2020,Kings,New York,36047,54206,5178
05/21/2020,Queens,New York,36081,60572,5457
05/21/2020,Richmond,New York,36085,13261,812
05/22/2020,New York,New York,36061,24571,2253
05/22/2020,Bronx,New York,36005,44829,3585
05/22/2020,Kings,New York,36047,54592,5192
05/22/2020,Queens,New York,36081,60800,5485
05/22/2020,Richmond,New York,36085,13293,817
05/23/2020,New York,New York,36061,24619,2260
05/23/2020,Bronx,New York,36005,44917,3602
05/23/2020,Kings,New York,36047,54755,5212
05/23/2020,Queens,New York,36081,60929,5499
05/23/2020,Richmond,New York,36085,13330,819
05/24/2020,New York,New York,36061,24689,2266
05/24/2020,Bronx,New York,36005,45015,3615
05/24/2020,Kings,New York,36047,54934,5224
05/24/2020,Queens,New York,36081,61047,5512
05/24/2020,Richmond,New York,36085,13344,824
05/25/2020,New York,New York,36061,24760,2278
05/25/2020,Bronx,New York,36005,45114,3623
05/25/2020,Kings,New York,36047,55109,5238
05/25/2020,Queens,New York,36081,61154,5524
05/25/2020,Richmond,New York,36085,13361,827
05/26/2020,New York,New York,36061,24887,2284
05/26/2020,Bronx,New York,36005,45386,3633
05/26/2020,Kings,New York,36047,55448,5249
05/26/2020,Queens,New York,36081,61415,5533
05/26/2020,Richmond,New York,36085,13417,828
05/27/2020,New York,New York,36061,24997,2293
05/27/2020,Bronx,New York,36005,45560,3642
05/27/2020,Kings,New York,36047,55702,5260
05/27/2020,Queens,New York,36081,61579,5551
05/27/2020,Richmond,New York,36085,13460,830
05/28/2020,New York,New York,36061,25094,2296
05/28/2020,Bronx,New York,36005,45674,3654
05/28/2020,Kings,New York,36047,55929,5272
05/28/2020,Queens,New York,36081,61754,5561
05/28/2020,Richmond,New York,36085,13486,831
05/29/2020,New York,New York,36061,25168,2301
05/29/2020,Bronx,New York,36005,45833,3660
05/29/2020,Kings,New York,36047,56101,5288
05/29/2020,Queens,New York,36081,61967,5575
05/29/2020,Richmond,New York,36085,13513,833
05/30/2020,New York,New York,36061,25207,2313
05/30/2020,Bronx,New York,36005,45909,3673
05/30/2020,Kings,New York,36047,56213,5299
05/30/2020,Queens,New York,36081,62073,5592
05/30/2020,Richmond,New York,36085,13529,834
05/31/2020,New York,New York,36061,25232,2318
05/31/2020,Bronx,New York,36005,45939,3679
05/31/2020,Kings,New York,36047,56293,5310
05/31/2020,Queens,New York,36081,62143,5607
05/31/2020,Richmond,New York,36085,13541,836
06/01/2020,New York,New York,36061,25311,2321
06/01/2020,Bronx,New York,36005,46093,3682
06/01/2020,Kings,New York,36047,56545,5320
06/01/2020,Queens,New York,36081,62283,5622
06/01/2020,Richmond,New York,36085,13580,839
06/02/2020,New York,New York,36061,25383,2330
06/02/2020,Bronx,New York,36005,46209,3689
06/02/2020,Kings,New York,36047,56736,5326
06/02/2020,Queens,New York,36081,62445,5637
06/02/2020,Richmond,New York,36085,13613,840
06/03/2020,New York,New York,36061,25461,2337
06/03/2020,Bronx,New York,36005,46313,3699
06/03/2020,Kings,New York,36047,56874,5339
06/03/2020,Queens,New York,36081,62596,5646
06/03/2020,Richmond,New York,36085,13657,843
06/04/2020,New York,New York,36061,25549,2345
06/04/2020,Bronx,New York,36005,46440,3703
06/04/2020,Kings,New York,36047,57004,5349
06/04/2020,Queens,New York,36081,62734,5655
06/04/2020,Richmond,New York,36085,13686,845
06/05/2020,New York,New York,36061,25606,2352
06/05/2020,Bronx,New York,36005,46544,3712
06/05/2020,Kings,New York,36047,57136,5355
06/05/2020,Queens,New York,36081,62840,5660
06/05/2020,Richmond,New York,36085,13694,846
06/06/2020,New York,New York,36061,25638,2354
06/06/2020,Bronx,New York,36005,46596,3724
06/06/2020,Kings,New York,36047,57195,5365
06/06/2020,Queens,New York,36081,62938,5671
06/06/2020,Richmond,New York,36085,13701,846
06/07/2020,New York,New York,36061,25663,2355
06/07/2020,Bronx,New York,36005,46639,3731
06/07/2020,Kings,New York,36047,57248,5370
06/07/2020,Queens,New York,36081,63012,5681
06/07/2020,Richmond,New York,36085,13705,847
06/08/2020,New York,New York,36061,25738,2358
06/08/2020,Bronx,New York,36005,46737,3741
06/08/2020,Kings,New York,36047,57359,5383
06/08/2020,Queens,New York,36081,63157,5696
06/08/2020,Richmond,New York,36085,13721,847
06/09/2020,New York,New York,36061,25805,2367
06/09/2020,Bronx,New York,36005,46820,3747
06/09/2020,Kings,New York,36047,57484,5390
06/09/2020,Queens,New York,36081,63285,5706
06/09/2020,Richmond,New York,36085,13740,849
06/10/2020,New York,New York,36061,25872,2369
06/10/2020,Bronx,New York,36005,46894,3755
06/10/2020,Kings,New York,36047,57583,5401
06/10/2020,Queens,New York,36081,63395,5714
06/10/2020,Richmond,New York,36085,13755,851
06/11/2020,New York,New York,36061,25928,2371
06/11/2020,Bronx,New York,36005,46960,3761
06/11/2020,Kings,New York,36047,57689,5405
06/11/2020,Queens,New York,36081,63509,5722
06/11/2020,Richmond,New York,36085,13770,852
06/12/2020,New York,New York,36061,25990,2374
06/12/2020,Bronx,New York,36005,47038,3766
06/12/2020,Kings,New York,36047,57812,5411
06/12/2020,Queens,New York,36081,63639,5731
06/12/2020,Richmond,New York,36085,13788,852
06/13/2020,New York,New York,36061,26013,2377
06/13/2020,Bronx,New York,36005,47084,3770
06/13/2020,Kings,New York,36047,57865,5415
06/13/2020,Queens,New York,36081,63712,5733
06/13/2020,Richmond,New York,36085,13790,853
06/14/2020,New York,New York,36061,26043,2379
06/14/2020,Bronx,New York,36005,47111,3778
06/14/2020,Kings,New York,36047,57919,5422
06/14/2020,Queens,New York,36081,63781,5738
06/14/2020,Richmond,New York,36085,13794,855
06/15/2020,New York,New York,36061,26102,2382
06/15/2020,Bronx,New York,36005,47190,3783
06/15/2020,Kings,New York,36047,58022,5426
06/15/2020,Queens,New York,36081,63901,5744
06/15/2020,Richmond,New York,36085,13811,857
06/16/2020,New York,New York,36061,26169,2385
06/16/2020,Bronx,New York,36005,47269,3787
06/16/2020,Kings,New York,36047,58156,5431
06/16/2020,Queens,New York,36081,64024,5751
06/16/2020,Richmond,New York,36085,13832,857
06/17/2020,New York,New York,36061,26237,2388
06/17/2020,Bronx,New York,36005,47337,3789
06/17/2020,Kings,New York,36047,58268,5438
06/17/2020,Queens,New York,36081,64115,5759
06/17/2020,Richmond,New York,36085,13849,857
06/18/2020,New York,New York,36061,26295,2392
06/18/2020,Bronx,New York,36005,47398,3790
06/18/2020,Kings,New York,36047,58379,5442
06/18/2020,Queens,New York,36081,64232,5765
06/18/2020,Richmond,New York,36085,13873,859
06/19/2020,New York,New York,36061,26353,2396
06/19/2020,Bronx,New York,36005,47480,3793
06/19/2020,Kings,New York,36047,58469,5445
06/19/2020,Queens,New York,36081,64354,5770
06/19/2020,Richmond,New York,36085,13882,861
06/20/2020,New York,New York,36061,26396,2398
06/20/2020,Bronx,New York,36005,47533,3798
06/20/2020,Kings,New York,36047,58515,5449
06/20/2020,Queens,New York,36081,64411,5776
06/20/2020,Richmond,New York,36085,13888,863
06/21/2020,New York,New York,36061,26426,2402
06/21/2020,Bronx,New York,36005,47558,3803
06/21/2020,Kings,New York,36047,58567,5455
06/21/2020,Queens,New York,36081,64471,5787
06/21/2020,Richmond,New York,36085,13897,865
06/22/2020,New York,New York,36061,26487,2406
06/22/2020,Bronx,New York,36005,47647,3805
06/22/2020,Kings,New York,36047,58676,5462
06/22/2020,Queens,New York,36081,64589,5796
06/22/2020,Richmond,New York,36085,13915,868
06/23/2020,New York,New York,36061,26563,2411
06/23/2020,Bronx,New York,36005,47721,3813
06/23/2020,Kings,New York,36047,58772,5471
06/23/2020,Queens,New York,36081,64709,5801
06/23/2020,Richmond,New York,36085,13931,868
06/24/2020,New York,New York,36061,26636,2414
06/24/2020,Bronx,New York,36005,47810,3815
06/24/2020,Kings,New York,36047,58873,5482
06/24/2020,Queens,New York,36081,64812,5809
06/24/2020,Richmond,New York,36085,13944,869
06/25/2020,New York,New York,36061,26683,2418
06/25/2020,Bronx,New York,36005,47874,3819
06/25/2020,Kings,New York,36047,58954,5487
06/25/2020,Queens,New York,36081,64891,5813
06/25/2020,Richmond,New York,36085,13969,871
06/26/2020,New York,New York,36061,26748,2424
06/26/2020,Bronx,New York,36005,47939,3824
06/26/2020,Kings,New York,36047,59048,5490
06/26/2020,Queens,New York,36081,64968,5818
06/26/2020,Richmond,New York,36085,13981,872
06/27/2020,New York,New York,36061,26790,2426
06/27/2020,Bronx,New York,36005,47966,3825
06/27/2020,Kings,New York,36047,59117,5501
06/27/2020,Queens,New York,36081,65027,5824
06/27/2020,Richmond,New York,36085,13993,873
06/28/2020,New York,New York,36061,26831,2433
06/28/2020,Bronx,New York,36005,48001,3828
06/28/2020,Kings,New York,36047,59175,5502
